label,abiotic_substrate, ,YEAR,REGION,ISLAND
1999-PR-EAST,17.346666666666668, ,1999,EAST,PR
1999-PR-SOUTH,12.114666666666666, ,1999,SOUTH,PR
1999-PR-WEST,8.636666666666667, ,1999,WEST,PR
2000-PR-SOUTH,12.168666666666667, ,2000,SOUTH,PR
2000-PR-WEST,16.857777777777777, ,2000,WEST,PR
2001-PR-EAST,17.629019607843137, ,2001,EAST,PR
2001-PR-SOUTH,10.178490566037736, ,2001,SOUTH,PR
2004-PR-EAST,18.98896551724138, ,2004,EAST,PR
2004-PR-WEST,18.161956521739132, ,2004,WEST,PR
2005-PR-SOUTH,20.68, ,2005,SOUTH,PR
2005-PR-WEST,18.458222222222222, ,2005,WEST,PR
2006-PR-SOUTH,21.87066666666667, ,2006,SOUTH,PR
2006-PR-WEST,20.115111111111112, ,2006,WEST,PR
2007-PR-SOUTH,21.336666666666666, ,2007,SOUTH,PR
2007-PR-WEST,19.728, ,2007,WEST,PR
2008-PR-SOUTH,23.080666666666666, ,2008,SOUTH,PR
2008-PR-WEST,15.945500000000001, ,2008,WEST,PR
2009-PR-SOUTH,18, ,2009,SOUTH,PR
2009-PR-WEST,16.932, ,2009,WEST,PR
2010-PR-SOUTH,21.906666666666666, ,2010,SOUTH,PR
2010-PR-WEST,17.685, ,2010,WEST,PR
2011-PR-EAST,1.38, ,2011,EAST,PR
2011-PR-NORTH,12.120000000000001, ,2011,NORTH,PR
2011-PR-SOUTH,24.8905, ,2011,SOUTH,PR
2011-PR-WEST,17.612222222222222, ,2011,WEST,PR
2013-PR-EAST,7.770666666666667, ,2013,EAST,PR
2013-PR-NORTH,15.906, ,2013,NORTH,PR
2013-PR-SOUTH,11.83, ,2013,SOUTH,PR
2013-PR-WEST,15.888833333333334, ,2013,WEST,PR
2015-PR-NORTH,19.586, ,2015,NORTH,PR
2015-PR-SOUTH,18.326249999999998, ,2015,SOUTH,PR
2015-PR-WEST,12.694833333333333, ,2015,WEST,PR
2016-PR-EAST,12.701108138311502, ,2016,EAST,PR
2016-PR-NORTH,11.9329393863463, ,2016,NORTH,PR
2016-PR-SOUTH,11.3708376653608, ,2016,SOUTH,PR
2016-PR-WEST,25.170597486540604, ,2016,WEST,PR
2017-PR-SOUTH,14.09826551353073, ,2017,SOUTH,PR
2017-PR-WEST,11.94202864266109, ,2017,WEST,PR
2018-PR-EAST,11.161888598206462, ,2018,EAST,PR
2018-PR-NORTH,18.39877704835062, ,2018,NORTH,PR
2018-PR-WEST,17.469111929543395, ,2018,WEST,PR
2019-PR-SOUTH,16.381781287241722, ,2019,SOUTH,PR
2019-PR-WEST,13.495994328115836, ,2019,WEST,PR
2020-PR-WEST,12.831834752767502, ,2020,WEST,PR
